algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
mckp,3447492.0,span_weakly_correlated_10000-rnduniform-rnduniform-1000-20-3,feasible,122.83386551,1000,20,3,10000,span_weakly_correlated,True
mckp,6754777.0,almost_strongly_correlated_10000-rnduniform-rnduniform-2000-20-9,feasible,2507.383605993,2000,20,9,10000,almost_strongly_correlated,True
mckp,238123.0,subset_sum_1000-rnduniform-rnduniform-1000-20-3,feasible,13.538468633,1000,20,3,1000,subset_sum,True
mckp,5288082.0,profit_ceiling_10000-rnduniform-rnduniform-2000-100-8,feasible,74.31901426,2000,100,8,10000,profit_ceiling,True
mckp,77434.0,uncorrelated_1000-rnduniform-rnduniform-200-20-6,feasible,0.2915084739999999,200,20,6,1000,uncorrelated,True
mckp,575428.0,almost_strongly_correlated_1000-rnduniform-rnduniform-2000-20-0,feasible,167.983677342,2000,20,0,1000,almost_strongly_correlated,True
mckp,2310025.0,circle_10000-rnduniform-rnduniform-500-20-1,feasible,47.937267,500,20,1,10000,circle,True
compact,282720.0,strongly_correlated_10000-rnduniform-rnduniform-100-20-0,feasible,0.0046741962432861,100,20,0,10000,strongly_correlated,True
compact,9969508.0,span_uncorrelated_10000-rnduniform-rnduniform-2000-20-2,feasible,0.0126800537109375,2000,20,2,10000,span_uncorrelated,True
compact,4689968.0,span_weakly_correlated_10000-rnduniform-rnduniform-1000-20-4,feasible,5.020287036895752,1000,20,4,10000,span_weakly_correlated,True
mckp,333325.0,mstr_1000-rnduniform-rnduniform-1000-500-0,feasible,1.2440233,1000,500,0,1000,mstr,True
mckp,311737.0,almost_strongly_correlated_1000-rnduniform-rnduniform-1000-100-4,feasible,1.518253008,1000,100,4,1000,almost_strongly_correlated,True
compact,45995.0,span_weakly_correlated_1000-rnduniform-rnduniform-100-20-9,feasible,0.025019884109497,100,20,9,1000,span_weakly_correlated,True
compact,2849430.0,almost_strongly_correlated_10000-rnduniform-rnduniform-1000-100-1,feasible,0.7289760112762451,1000,100,1,10000,almost_strongly_correlated,False
compact,58720.0,strongly_correlated_1000-rnduniform-rnduniform-200-20-0,feasible,0.0584681034088134,200,20,0,1000,strongly_correlated,True
compact,44792.0,span_weakly_correlated_1000-rnduniform-rnduniform-200-20-3,feasible,0.0172088146209716,200,20,3,1000,span_weakly_correlated,True
mckp,1890577.0,span_uncorrelated_10000-rnduniform-rnduniform-500-20-6,feasible,25.285398935,500,20,6,10000,span_uncorrelated,True
mckp,1489590.0,span_weakly_correlated_10000-rnduniform-rnduniform-500-20-2,feasible,35.118055725000005,500,20,2,10000,span_weakly_correlated,True
mckp,2315272.0,span_uncorrelated_10000-rnduniform-rnduniform-1000-20-1,feasible,194.778286938,1000,20,1,10000,span_uncorrelated,True
compact,389030.0,span_uncorrelated_10000-rnduniform-rnduniform-100-20-0,feasible,0.0037178993225097,100,20,0,10000,span_uncorrelated,True
compact,491708.0,circle_10000-rnduniform-rnduniform-100-20-8,feasible,0.0131359100341796,100,20,8,10000,circle,True
