algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
mckp,506594.0,0.0,ytntyj_800_20,feasible,48.415031861,ytntyj,800,20,True
mckp,601756.0,0.0,jhzljs_1200_20,feasible,42.713358458,jhzljs,1200,20,True
compact,1001334.0,9.949250122393795e-05,rwwpdi_400_20,feasible,6.756212949752808,rwwpdi,400,20,True
mckp,501937.0,0.0,xoihse_1000_20,feasible,47.398855598,xoihse,1000,20,True
mckp,511699.0,0.0,gkhbxg_600_20,feasible,73.18952916799999,gkhbxg,600,20,True
mckp,1008218.0,0.0,kwcuya_400_100,feasible,150.23113034899998,kwcuya,400,100,True
compact,1002347.0,6.206649308283091e-05,quggrd_600_20,feasible,0.1688427925109863,quggrd,600,20,True
mckp,1003926.0,0.0,qsplie_1000_20,feasible,48.345756893,qsplie,1000,20,True
compact,1003577.0,9.998799750203418e-05,hojopw_400_20,feasible,3333.734299182892,hojopw,400,20,True
compact,502885.0,0.0,awwpjb_800_20,feasible,0.0228538513183593,awwpjb,800,20,True
mckp,1001480.0,0.0,thhscj_600_20,feasible,73.79405031499999,thhscj,600,20,True
compact,979571.0,2.433069468023242,lhxjcj_1000_100,feasible,3600.0007708072662,lhxjcj,1000,100,False
compact,972623.0,0.0,rjdhmd_600_20,feasible,1.5409479141235352,rjdhmd,600,20,True
mckp,1008880.0,0.0,dmbgod_800_100,feasible,219.932311159,dmbgod,800,100,True
mckp,999986.0,0.0,nfigil_600_20,feasible,78.42841588900001,nfigil,600,20,True
mckp,994319.0,0.0,cpfujy_600_20,feasible,69.942708271,cpfujy,600,20,True
compact,974688.0,0.0,bbffdb_1000_20,feasible,0.2564270496368408,bbffdb,1000,20,True
compact,1002038.0,0.0,jleqwk_800_100,feasible,0.0761950016021728,jleqwk,800,100,True
mckp,1001669.0,0.0,xdpjjz_1200_20,feasible,53.422567925,xdpjjz,1200,20,True
